"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
50703726,-65.3,42.3,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera physalus;Delphinus delphis","2280","2021-09-01","2021-09-01",2,36,2,,,,"7406:225:132","POLYGON((-65.2 42.3,-65.3 42.3,-65.3 42.4,-65.2 42.4,-65.2 42.3))"
50703723,-65.3,42.3,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera physalus;Delphinidae;Delphinus delphis","2280","2021-09-01","2021-09-01",9,150,3,,,,"7406:225:122","POLYGON((-65.2 42.2,-65.3 42.2,-65.3 42.3,-65.2 42.3,-65.2 42.2))"
50703720,-65.3,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Mola mola","2280","2021-09-01","2021-09-01",1,1,1,,,,"7406:225:113","POLYGON((-65.3 42.1,-65.4 42.1,-65.4 42.2,-65.3 42.2,-65.3 42.1))"
50703728,-65.2,42.6,"NOAA Northeast Fisheries Science Center (NEFSC)","Cetorhinus maximus","2280","2021-09-01","2021-09-01",1,1,1,,,,"7406:225:352","POLYGON((-65.2 42.5,-65.3 42.5,-65.3 42.6,-65.2 42.6,-65.2 42.5))"
50703729,-65.4,42.6,"NOAA Northeast Fisheries Science Center (NEFSC)","Lagenorhynchus acutus","2280","2021-09-01","2021-09-01",1,40,1,,,,"7406:225:353","POLYGON((-65.3 42.5,-65.4 42.5,-65.4 42.6,-65.3 42.6,-65.3 42.5))"
50703731,-65.5,42.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Dermochelys coriacea;Mola mola","2280","2021-09-01","2021-09-01",2,2,2,,,,"7406:225:475","POLYGON((-65.5 42.7,-65.6 42.7,-65.6 42.8,-65.5 42.8,-65.5 42.7))"
50703734,-65.6,42.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Chondrichthyes;Dermochelys coriacea;Mola mola","2280","2021-09-01","2021-09-01",6,8,3,,,,"7406:225:485","POLYGON((-65.5 42.8,-65.6 42.8,-65.6 42.9,-65.5 42.9,-65.5 42.8))"
50703864,-66.0,43.5,"NOAA Northeast Fisheries Science Center (NEFSC)","Halichoerus grypus","2280","2021-09-01","2021-09-01",1,11,1,,,,"7406:235:249","POLYGON((-65.9 43.4,-66 43.4,-66 43.5,-65.9 43.5,-65.9 43.4))"
50703863,-65.8,43.5,"NOAA Northeast Fisheries Science Center (NEFSC)","Halichoerus grypus;Phocidae","2280","2021-09-01","2021-09-01",2,11,2,,,,"7406:235:247","POLYGON((-65.7 43.4,-65.8 43.4,-65.8 43.5,-65.7 43.5,-65.7 43.4))"
50703861,-65.6,43.4,"NOAA Northeast Fisheries Science Center (NEFSC)","Phoca vitulina","2280","2021-09-01","2021-09-01",1,8,1,,,,"7406:235:246","POLYGON((-65.6 43.4,-65.7 43.4,-65.7 43.5,-65.6 43.5,-65.6 43.4))"
50703860,-65.6,43.3,"NOAA Northeast Fisheries Science Center (NEFSC)","Lagenorhynchus acutus;Phocoena phocoena","2280","2021-09-01","2021-09-01",2,16,2,,,,"7406:235:226","POLYGON((-65.6 43.2,-65.7 43.2,-65.7 43.3,-65.6 43.3,-65.6 43.2))"
50703865,-66.0,43.7,"NOAA Northeast Fisheries Science Center (NEFSC)","Halichoerus grypus","2280","2021-09-01","2021-09-01",1,8,1,,,,"7406:235:469","POLYGON((-65.9 43.6,-66 43.6,-66 43.7,-65.9 43.7,-65.9 43.6))"
50703878,-66.2,43.7,"NOAA Northeast Fisheries Science Center (NEFSC)","Phocoena phocoena","2280","2021-09-01","2021-09-01",1,6,1,,,,"7406:236:372","POLYGON((-66.2 43.7,-66.3 43.7,-66.3 43.8,-66.2 43.8,-66.2 43.7))"
50703882,-66.4,43.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Phocoena phocoena","2280","2021-08-15","2021-08-15",1,3,1,,,,"7406:236:383","POLYGON((-66.3 43.8,-66.4 43.8,-66.4 43.9,-66.3 43.9,-66.3 43.8))"
50703879,-66.4,43.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Phocoena phocoena","2280","2021-09-01","2021-09-01",1,2,1,,,,"7406:236:373","POLYGON((-66.3 43.7,-66.4 43.7,-66.4 43.8,-66.3 43.8,-66.3 43.7))"
50703881,-66.4,43.8,"NOAA Northeast Fisheries Science Center (NEFSC)","Halichoerus grypus;Mola mola","2280","2021-08-15","2021-09-01",3,3,2,,,,"7406:236:374","POLYGON((-66.4 43.7,-66.5 43.7,-66.5 43.8,-66.4 43.8,-66.4 43.7))"
